50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000,5050,5100,5150,5200,5250,5300,5350,5400,5450,5500,5550,5600,5650,5700,5750,5800,5850,5900,5950,6000,6050,6100,6150,6200,6250,6300,6350,6400,6450,6500,6550,6600,6650,6700,6750,6800,6850,6900,6950,7000,7050,7100,7150,7200,7250,7300,7350,7400,7450,7500,7550,7600,7650,7700,7750,7800,7850,7900,7950,8000,8050,8100,8150,8200,8250,8300,8350,8400,8450,8500,8550,8600,8650,8700,8750,8800,8850,8900,8950,9000,9050,9100,9150,9200,9250,9300,9350,9400,9450,9500,9550,9600,9650,9700,9750,9800,9850,9900,9950,10000
1.12E-05,1.12E-05,1.05E-05,9.21E-06,8.08E-06,6.98E-06,6.05E-06,4.70E-06,3.59E-06,2.77E-06,2.16E-06,1.74E-06,1.45E-06,1.23E-06,1.06E-06,9.42E-07,8.83E-07,8.25E-07,7.81E-07,7.38E-07,6.96E-07,7.06E-07,6.96E-07,6.89E-07,7.03E-07,7.17E-07,7.51E-07,7.76E-07,8.14E-07,8.52E-07,8.88E-07,8.83E-07,8.63E-07,8.56E-07,8.35E-07,8.14E-07,7.66E-07,7.36E-07,7.08E-07,6.81E-07,6.52E-07,6.12E-07,5.72E-07,5.36E-07,5.09E-07,4.81E-07,4.57E-07,4.21E-07,3.99E-07,3.57E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12E-05,1.13E-05,9.71E-06,7.18E-06,6.32E-06,5.14E-06,3.96E-06,3.28E-06,2.60E-06,2.13E-06,1.84E-06,1.54E-06,1.31E-06,1.18E-06,1.03E-06,8.89E-07,8.17E-07,7.39E-07,6.76E-07,5.95E-07,5.58E-07,5.15E-07,4.68E-07,4.40E-07,4.13E-07,4.05E-07,3.95E-07,3.72E-07,3.54E-07,3.42E-07,3.42E-07,3.29E-07,3.32E-07,3.20E-07,3.21E-07,3.16E-07,2.99E-07,2.88E-07,2.81E-07,2.76E-07,2.83E-07,2.69E-07,2.51E-07,2.49E-07,2.45E-07,2.41E-07,2.27E-07,2.14E-07,2.04E-07,2.01E-07,1.99E-07,1.80E-07,1.74E-07,1.63E-07,1.62E-07,1.65E-07,1.65E-07,1.51E-07,1.46E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12E-05,1.14E-05,6.81E-06,6.18E-06,4.62E-06,4.28E-06,3.55E-06,3.04E-06,2.59E-06,2.22E-06,2.03E-06,1.78E-06,1.59E-06,1.42E-06,1.31E-06,1.20E-06,1.14E-06,1.04E-06,9.56E-07,8.50E-07,7.87E-07,7.55E-07,6.90E-07,6.42E-07,6.15E-07,5.70E-07,5.46E-07,4.97E-07,4.92E-07,4.73E-07,4.38E-07,4.05E-07,3.71E-07,3.70E-07,3.60E-07,3.61E-07,3.41E-07,3.32E-07,3.16E-07,3.05E-07,2.94E-07,2.82E-07,2.70E-07,2.52E-07,2.52E-07,2.44E-07,2.38E-07,2.36E-07,2.23E-07,2.13E-07,2.08E-07,2.09E-07,2.10E-07,2.03E-07,1.97E-07,1.82E-07,1.74E-07,1.67E-07,1.60E-07,1.50E-07,1.42E-07,1.22E-07,1.05E-07,9.72E-08,9.86E-08,9.37E-08,8.49E-08,8.27E-08,8.19E-08,7.06E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12E-05,1.09E-05,7.79E-06,5.17E-06,4.05E-06,3.35E-06,2.80E-06,2.63E-06,2.32E-06,2.04E-06,1.84E-06,1.67E-06,1.49E-06,1.40E-06,1.28E-06,1.17E-06,1.05E-06,9.55E-07,8.94E-07,8.50E-07,8.13E-07,7.39E-07,7.35E-07,7.12E-07,7.04E-07,6.68E-07,6.32E-07,6.03E-07,5.70E-07,5.51E-07,5.56E-07,5.34E-07,5.32E-07,5.06E-07,4.80E-07,4.82E-07,4.38E-07,4.30E-07,4.01E-07,3.86E-07,3.83E-07,3.60E-07,3.54E-07,3.49E-07,3.44E-07,3.39E-07,3.20E-07,3.08E-07,2.95E-07,2.91E-07,2.74E-07,2.47E-07,2.22E-07,2.11E-07,1.88E-07,1.49E-07,1.40E-07,1.21E-07,7.87E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13E-05,1.05E-05,7.30E-06,4.94E-06,3.79E-06,3.14E-06,2.74E-06,2.33E-06,2.02E-06,1.81E-06,1.68E-06,1.83E-06,1.78E-06,1.77E-06,1.81E-06,1.86E-06,1.78E-06,1.73E-06,1.62E-06,1.47E-06,1.32E-06,1.12E-06,1.01E-06,9.05E-07,8.03E-07,6.88E-07,6.53E-07,6.35E-07,6.40E-07,6.50E-07,6.50E-07,6.56E-07,6.33E-07,6.13E-07,5.96E-07,5.78E-07,5.66E-07,5.37E-07,4.97E-07,4.71E-07,4.42E-07,4.36E-07,4.18E-07,4.03E-07,3.92E-07,3.77E-07,3.87E-07,3.69E-07,3.49E-07,3.13E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.09E-05,1.14E-05,1.08E-05,7.74E-06,5.15E-06,4.86E-06,4.63E-06,5.99E-06,6.20E-06,5.12E-06,3.44E-06,2.39E-06,1.82E-06,1.58E-06,1.58E-06,1.56E-06,1.55E-06,1.56E-06,1.57E-06,1.62E-06,1.73E-06,2.01E-06,1.95E-06,1.95E-06,1.88E-06,1.87E-06,1.86E-06,1.70E-06,1.60E-06,1.50E-06,1.39E-06,1.39E-06,1.26E-06,1.27E-06,1.29E-06,1.28E-06,1.31E-06,1.30E-06,1.27E-06,1.22E-06,1.18E-06,1.15E-06,1.13E-06,1.06E-06,1.01E-06,9.27E-07,8.77E-07,8.50E-07,8.17E-07,7.87E-07,7.18E-07,7.13E-07,6.57E-07,6.06E-07,5.49E-07,5.00E-07,4.41E-07,3.93E-07,3.29E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.05E-05,1.23E-05,1.28E-05,8.37E-06,1.02E-05,1.03E-05,9.24E-06,6.98E-06,4.63E-06,2.22E-06,1.61E-06,1.11E-06,1.06E-06,1.11E-06,1.31E-06,1.63E-06,1.90E-06,2.04E-06,1.97E-06,1.87E-06,1.73E-06,1.72E-06,1.63E-06,1.42E-06,1.27E-06,1.17E-06,1.04E-06,9.93E-07,9.12E-07,8.15E-07,7.91E-07,6.88E-07,6.38E-07,5.79E-07,4.98E-07,4.94E-07,4.32E-07,4.41E-07,4.20E-07,3.72E-07,3.83E-07,3.69E-07,3.61E-07,3.43E-07,3.46E-07,3.22E-07,2.92E-07,2.53E-07,2.50E-07,2.38E-07,2.25E-07,2.26E-07,2.08E-07,2.02E-07,1.98E-07,1.93E-07,1.88E-07,1.74E-07,1.71E-07,1.69E-07,1.57E-07,1.40E-07,1.35E-07,1.29E-07,1.10E-07,1.19E-07,1.05E-07,1.00E-07,8.53E-08,8.60E-08,8.50E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01E-05,1.06E-05,1.03E-05,8.99E-06,6.16E-06,5.09E-06,3.71E-06,3.03E-06,2.18E-06,1.60E-06,1.25E-06,1.17E-06,1.09E-06,9.25E-07,8.39E-07,8.05E-07,8.04E-07,6.37E-07,5.91E-07,5.20E-07,5.03E-07,4.87E-07,4.57E-07,4.41E-07,4.29E-07,3.95E-07,3.82E-07,3.37E-07,2.99E-07,2.94E-07,2.63E-07,2.60E-07,2.32E-07,1.97E-07,1.86E-07,1.94E-07,1.83E-07,1.83E-07,1.69E-07,1.65E-07,1.65E-07,1.64E-07,1.69E-07,1.70E-07,1.73E-07,1.69E-07,1.73E-07,1.77E-07,1.63E-07,1.53E-07,1.44E-07,1.54E-07,1.53E-07,1.52E-07,1.36E-07,1.02E-07,6.19E-08,5.28E-08,4.37E-08,4.67E-08,3.66E-08,3.86E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.71E-06,8.85E-06,7.14E-06,5.74E-06,4.90E-06,4.21E-06,3.39E-06,2.41E-06,1.65E-06,1.18E-06,9.08E-07,7.40E-07,6.17E-07,5.51E-07,4.89E-07,4.44E-07,4.04E-07,3.52E-07,3.13E-07,2.71E-07,2.39E-07,2.21E-07,1.93E-07,1.71E-07,1.48E-07,1.37E-07,1.43E-07,1.36E-07,1.29E-07,1.34E-07,1.31E-07,1.23E-07,1.15E-07,1.11E-07,1.06E-07,9.98E-08,9.42E-08,8.80E-08,8.19E-08,7.97E-08,7.41E-08,7.36E-08,7.08E-08,6.84E-08,6.39E-08,6.14E-08,5.97E-08,5.44E-08,5.23E-08,4.79E-08,4.42E-08,3.60E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
